endpoint,endpoint_label,feature_set,n_test,events_test,prevalence_test,auroc,auprc,auprc_over_prevalence,brier,ece_10,top_fraction,top_n,top1_event_rate,top1_enrichment_over_prevalence,top1_events_captured,top1_event_capture_pct,pca_components,pca_explained_variance_total,feature_order
outcome_maternal_morbidity_core,Maternal core morbidity,PCA 5,3638436,28042,0.007707157690831995,0.6129908923832488,0.012614246885047427,1.6366924605750095,0.007639275259103995,0.0005263095054140779,0.01,36384,0.023004617414248023,2.9848380345990626,837,2.984808501533414,5.0,0.8376590013504028,0
outcome_maternal_morbidity_core,Maternal core morbidity,PCA 10,3638436,28042,0.007707157690831995,0.6153192721995931,0.012773092880260099,1.6573026519820995,0.007639587777978018,0.00045086954012809715,0.01,36384,0.024406332453825858,3.166709886169615,888,3.166678553598174,10.0,0.937442421913147,1
outcome_maternal_morbidity_core,Maternal core morbidity,PCA 20,3638436,28042,0.007707157690831995,0.6387338607124997,0.01471877816952312,1.9097543815707518,0.007628924586176417,0.0003519944261455841,0.01,36384,0.0292985927880387,3.8014783092982087,1066,3.8014406960987093,20.0,0.9823167324066162,2
outcome_maternal_morbidity_core,Maternal core morbidity,PCA 32,3638436,28042,0.007707157690831995,0.6504251627196056,0.01626192772386147,2.1099772933419736,0.007623615113901157,0.00027041410699912556,0.01,36384,0.03427330694810906,4.446945076636835,1247,4.446901076955995,32.0,0.996084451675415,3
outcome_maternal_morbidity_core,Maternal core morbidity,Full 48,3638436,28042,0.007707157690831995,0.6583206886916518,0.016847376980760886,2.185939052577267,0.007621233842333444,0.00015471154180229303,0.01,36384,0.03611477572559367,4.685874763994228,1314,4.685828400256757,,,4
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,PCA 5,3638436,169135,0.04648563283784571,0.649209361925858,0.08125218502707578,1.7478988682482839,0.04413391122461998,0.0049645025011097405,0.01,36384,0.1266490765171504,2.7244778393990283,4608,2.724450882431194,5.0,0.8376590013504028,0
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,PCA 10,3638436,169135,0.04648563283784571,0.6500006067914954,0.08347617339144013,1.7957413569613496,0.04420604836861371,0.004494262773772586,0.01,36384,0.14074868073878627,3.027788848863373,5121,3.0277588908268545,10.0,0.937442421913147,1
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,PCA 20,3638436,169135,0.04648563283784571,0.6763951734235492,0.1043353141704781,2.2444636719140196,0.04327239649236927,0.0014673091300488623,0.01,36384,0.21231860158311347,4.567402627898762,7725,4.5673574363673985,20.0,0.9823167324066162,2
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,PCA 32,3638436,169135,0.04648563283784571,0.6934643273000798,0.14591493924903012,3.1389255204510254,0.042343144769390904,0.0013372076389461724,0.01,36384,0.3584817502198769,7.711667634392692,13043,7.711591332367635,32.0,0.996084451675415,3
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,Full 48,3638436,169135,0.04648563283784571,0.7093389953741348,0.18724435387867455,4.02800483607124,0.04132439195444689,0.002205225358777352,0.01,36384,0.47312005277044855,10.177769428692464,17214,10.17766872616549,,,4
