endpoint,endpoint_label,model,subgroup_variable,subgroup,n,events,prevalence,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence,overall_prevalence,overall_model_auprc
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,hypertensive_disorder,Any hypertensive disorder,505310,7601,0.015042251291286538,0.6093278134790667,0.0252795053878542,1.6805666185418504,0.01477289059606741,0.0012196577303545412,0.053037799327132394,3.5259216389939834,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,hypertensive_disorder,No hypertensive disorder,3133126,20441,0.006524155108986999,0.6326327770315918,0.012715628714854734,1.9490077262784575,0.006468322771421247,0.00019461869840233236,0.026299830838466695,4.031147389834245,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,infertility_art,Infertility/ART,91341,1920,0.021020133346470918,0.5701671843489412,0.030041814767166615,1.429192397212378,0.020552682894858933,0.004013161806346887,0.06462212486308871,3.074296618291347,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,infertility_art,No infertility/ART,3547095,26122,0.007364336168047374,0.6503198825815413,0.015457358158619598,2.0989479303900462,0.007288684681501758,0.00016783914190464478,0.03321022807363762,4.5096024021460694,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,plurality,Multiple,112066,2942,0.026252386986240252,0.6185081040656735,0.04084642107329196,1.5559126526171096,0.025676666111824852,0.014503224127616664,0.06512042818911686,2.4805526531072637,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,plurality,Singleton,3526370,25100,0.007117801024849916,0.6489413732936087,0.014802183155255066,2.079600582199076,0.007047892970432208,0.0004390052114371622,0.03142014519056261,4.414305075523676,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,prior_cesarean,No prior cesarean,3078044,20890,0.006786777576928725,0.644845765002737,0.013796764085379658,2.0328887942756504,0.0067245426327648475,0.0002527030804326121,0.027875243664717348,4.107287051733904,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,prior_cesarean,Prior cesarean,560392,7152,0.012762494825051035,0.6284085253999745,0.024925482162394732,1.953025838919003,0.012549289595684352,0.0013214537890497426,0.05406852248394004,4.2365167018764165,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,prior_preterm,No prior preterm,3493369,25955,0.007429790554619338,0.653105489975591,0.01560483104883396,2.1003056457805447,0.007352200157382678,0.00011082393330649844,0.03208908226942234,4.31897535112501,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,prior_preterm,Prior preterm,145067,2087,0.014386455913474464,0.6621406182441606,0.028401049755832096,1.974151933363342,0.014110800437280826,0.0014322108259888198,0.051688490696071676,3.5928578245361904,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,smoking,No smoking,3551780,26902,0.007574230385891018,0.6563683053347644,0.01603901403075494,2.1175767323676595,0.007493001338702991,0.00017117429045469297,0.032941043977701444,4.349094534946117,0.007707157690831995,0.01673164951964634
outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype,smoking,Smoking,86656,1140,0.013155465288035451,0.6747601402999992,0.030715125233494317,2.3347806072225294,0.012895440637143183,0.001191692249069073,0.06805074971164937,5.172812076326919,0.007707157690831995,0.01673164951964634
