endpoint,feature_set,model,probability_type,n_test,events_test,prevalence_test,auroc,auprc,auprc_over_prevalence,brier,ece_10
outcome_maternal_morbidity_core,ssl_embedding,logistic,raw,3638436,28042,0.007707157690831995,0.6583206886916518,0.016847376980760886,2.185939052577267,0.22705578596893233,0.45273215648794907
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,3638436,28042,0.007707157690831995,0.6583206886916518,0.016847376980760886,2.185939052577267,0.007621233842333444,0.00015471154180229303
outcome_maternal_morbidity_core,phenotype,logistic,raw,3638436,28042,0.007707157690831995,0.5353981686120896,0.008521631167404948,1.1056775414809281,0.24832345800683048,0.4892939142466352
outcome_maternal_morbidity_core,phenotype,logistic,platt,3638436,28042,0.007707157690831995,0.5353981686120896,0.008521631167404948,1.1056775414809281,0.007646115432725294,0.0013018469846944264
outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,raw,3638436,28042,0.007707157690831995,0.6587663426797093,0.016731648528608183,2.170923341624529,0.2270437401876527,0.4525606362467558
outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,platt,3638436,28042,0.007707157690831995,0.6587663426797093,0.016731648528608183,2.170923341624529,0.00762167029181306,0.0001578291701494803
outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,raw,3638436,169135,0.04648563283784571,0.7093389953741348,0.18724435387867455,4.02800483607124,0.20628266667056486,0.3868812621801157
outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,platt,3638436,169135,0.04648563283784571,0.7093389953741348,0.18724435387867455,4.02800483607124,0.04132439195444689,0.002205225358777352
outcome_severe_neonatal_no_nicu,phenotype,logistic,raw,3638436,169135,0.04648563283784571,0.536386039105665,0.051839824339629886,1.1151794904128987,0.2477758632166903,0.44997943296163884
outcome_severe_neonatal_no_nicu,phenotype,logistic,platt,3638436,169135,0.04648563283784571,0.536386039105665,0.051839824339629886,1.1151794904128987,0.04425081782271664,0.004228721525526306
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,raw,3638436,169135,0.04648563283784571,0.7098272825674842,0.1859415803657469,3.999979542375184,0.2061223033532122,0.3866750262960088
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,platt,3638436,169135,0.04648563283784571,0.7098272825674842,0.1859415803657469,3.999979542375184,0.04132598891030092,0.0021075200220847167
