phenotype,n,proportion,mean_gestational_age_weeks,mean_birthweight_g,preterm_lt37_rate,low_birthweight_lt2500g_rate,very_low_birthweight_lt1500g_rate,low_apgar5_lt7_rate,maternal_core_morbidity_rate,severe_neonatal_no_nicu_rate
0,172524,0.047417077007813245,37.90486497384869,3122.8666775790807,0.18052705860028226,0.13519896643848028,0.040956628999351104,0.04379711348144939,0.01270547865804178,0.08249287055713987
1,1677612,0.46108053020583567,38.39292780281519,3181.652043168514,0.1417265835284184,0.10030208417204185,0.015336810432490302,0.022727286331245305,0.008151467681442431,0.04814998938968009
2,1788300,0.49150239278635105,38.698515837903706,3309.6396408340634,0.0957840714437907,0.06618702540744893,0.00865804498357002,0.020597316572848776,0.006808141810658167,0.04145053961863222
