phenotype,n,input_MAGER_mean,input_BMI_mean,input_PREVIS_mean,input_WTGAIN_mean,input_DPLURAL_mode,input_RF_PDIAB_Y_rate,input_RF_PDIAB_U_or_missing_rate,input_RF_GDIAB_Y_rate,input_RF_GDIAB_U_or_missing_rate,input_RF_PHYPE_Y_rate,input_RF_PHYPE_U_or_missing_rate,input_RF_GHYPE_Y_rate,input_RF_GHYPE_U_or_missing_rate,input_RF_EHYPE_Y_rate,input_RF_EHYPE_U_or_missing_rate,input_RF_PPTERM_Y_rate,input_RF_PPTERM_U_or_missing_rate,input_RF_INFTR_Y_rate,input_RF_INFTR_U_or_missing_rate,input_RF_FEDRG_Y_rate,input_RF_FEDRG_U_or_missing_rate,input_RF_ARTEC_Y_rate,input_RF_ARTEC_U_or_missing_rate,input_RF_CESAR_Y_rate,input_RF_CESAR_U_or_missing_rate,input_CIG_REC_Y_rate,input_CIG_REC_U_or_missing_rate,input_IP_CHLAM_Y_rate,input_IP_CHLAM_U_or_missing_rate,input_IP_HEPB_Y_rate,input_IP_HEPB_U_or_missing_rate,input_IP_HEPC_Y_rate,input_IP_HEPC_U_or_missing_rate,input_NO_RISKS_mode,phenotype_original
0,165286,29.85688443062328,26.83600807189941,8.789867783539012,28.63200486481429,1,0.0125265939086612,0.0359679585687838,0.0695364030601038,0.0359679585687838,0.0297098675168349,0.0359679585687838,0.0898889802373525,0.0359679585687838,0.0029370971689646,0.0359679585687838,0.0491022398503837,0.0359679585687838,0.0178924445058083,0.0359679585687838,0.0042722692032217,0.0370267294265697,0.0143560810725908,0.0370267294265697,0.1680044684042399,0.0359679585687838,0.0542266015050487,0.0826627784567356,0.0188021104962646,0.1067422528223806,0.002661826161755,0.1067422528223806,0.0092859126406263,0.1067422528223806,1,2
1,1674796,27.62459845855853,29.38919258117676,10.012972982102882,26.707243740534658,1,0.0143910064270514,0.0,0.0833456731446695,0.0,0.030871222525012,0.0,0.0968553782072562,0.0,0.0027645157977449,0.0,0.0537432618659227,0.0,0.0005642478248097,0.0,0.0002818516218411,9.314567266699944e-05,0.0002167630057803,9.314567266699944e-05,0.1862567142505714,0.0,0.0573486825213907,3.582525871807671e-06,0.0339278985877209,7.583013095326236e-05,0.0022876162393882,7.583013095326236e-05,0.0068837483705735,7.583013095326236e-05,1,0
2,1764999,31.412541876794265,26.47357940673828,12.016867055935688,31.599951688426813,1,0.0105059549608809,0.0,0.082989848719461,0.0,0.0322459106209125,0.0,0.1052561502867707,0.0,0.0019269132730386,0.0,0.0253104959266265,0.0,0.0479937948973342,0.0,0.0157664402488327,0.0010691224187662,0.0360521623130011,0.0010691224187662,0.1215638082514494,0.0,0.0020096351438557,1.1331451179292452e-06,0.0016521443031333,1.1331451179292452e-05,0.0010209753203862,1.1331451179292452e-05,0.0007586492530506,1.1331451179292452e-05,1,1
