endpoint,feature_set,probability_type,bin,n,weight,mean_pred,event_rate
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,9,363843,0.09999983509397994,0.011566956781526978,0.012005178057568787
outcome_maternal_morbidity_core,ssl_plus_phenotype,platt,10,363843,0.09999983509397994,0.019793779663142677,0.01995366133194812
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,1,363844,0.1000001099373467,0.20897242981067674,0.014805795890546498
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,2,363844,0.1000001099373467,0.2739066781560115,0.019181297479139412
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,3,363844,0.1000001099373467,0.31596124796033564,0.022921911588482977
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,4,363844,0.1000001099373467,0.3528416298400909,0.026516858873583182
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,5,363844,0.1000001099373467,0.38918312348595097,0.0296198370730313
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,6,363844,0.1000001099373467,0.4282197626985025,0.03491331449742197
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,7,363843,0.09999983509397994,0.4737229699633644,0.04164433560629172
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,8,363843,0.09999983509397994,0.5308141129371242,0.05236599302446385
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,9,363843,0.09999983509397994,0.6088826905231046,0.06952449270701924
outcome_severe_neonatal_no_nicu,ssl_embedding,raw,10,363843,0.09999983509397994,0.7511660393891451,0.15336285155960125
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,1,363844,0.1000001099373467,0.011220702521239058,0.014805795890546498
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,2,363844,0.1000001099373467,0.01628657042019972,0.019181297479139412
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,3,363844,0.1000001099373467,0.02017895089174925,0.022921911588482977
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,4,363844,0.1000001099373467,0.02404074456746363,0.026516858873583182
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,5,363844,0.1000001099373467,0.02832613262087304,0.0296198370730313
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,6,363844,0.1000001099373467,0.03355837391988514,0.03491331449742197
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,7,363843,0.09999983509397994,0.0406597736923666,0.04164433560629172
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,8,363843,0.09999983509397994,0.05154122450410518,0.05236599302446385
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,9,363843,0.09999983509397994,0.07157580404550774,0.06952449270701924
outcome_severe_neonatal_no_nicu,ssl_embedding,platt,10,363843,0.09999983509397994,0.15720691984603238,0.15336285155960125
outcome_severe_neonatal_no_nicu,phenotype,raw,1,363844,0.1000001099373467,0.4673913775767947,0.03917613042952474
outcome_severe_neonatal_no_nicu,phenotype,raw,2,363844,0.1000001099373467,0.4673913775767947,0.037290707006299405
outcome_severe_neonatal_no_nicu,phenotype,raw,3,363844,0.1000001099373467,0.4673913775767947,0.0406108112267895
outcome_severe_neonatal_no_nicu,phenotype,raw,4,363844,0.1000001099373467,0.4673913775767947,0.04482140697661635
outcome_severe_neonatal_no_nicu,phenotype,raw,5,363844,0.1000001099373467,0.471135302271394,0.04722078693066259
outcome_severe_neonatal_no_nicu,phenotype,raw,6,363844,0.1000001099373467,0.5114471517223896,0.05355866800057167
outcome_severe_neonatal_no_nicu,phenotype,raw,7,363843,0.09999983509397994,0.5114471517223896,0.05426241538245892
outcome_severe_neonatal_no_nicu,phenotype,raw,8,363843,0.09999983509397994,0.5114471517223896,0.04871606709487334
outcome_severe_neonatal_no_nicu,phenotype,raw,9,363843,0.09999983509397994,0.5114471517223896,0.03806861750810102
outcome_severe_neonatal_no_nicu,phenotype,raw,10,363843,0.09999983509397994,0.5781615865956079,0.06113076244424106
outcome_severe_neonatal_no_nicu,phenotype,platt,1,363844,0.1000001099373467,0.03995481735568912,0.03917613042952474
outcome_severe_neonatal_no_nicu,phenotype,platt,2,363844,0.1000001099373467,0.03995481735568912,0.037290707006299405
outcome_severe_neonatal_no_nicu,phenotype,platt,3,363844,0.1000001099373467,0.03995481735568912,0.0406108112267895
outcome_severe_neonatal_no_nicu,phenotype,platt,4,363844,0.1000001099373467,0.03995481735568912,0.04482140697661635
outcome_severe_neonatal_no_nicu,phenotype,platt,5,363844,0.1000001099373467,0.04059508196716533,0.04722078693066259
outcome_severe_neonatal_no_nicu,phenotype,platt,6,363844,0.1000001099373467,0.04748898415057749,0.05355866800057167
outcome_severe_neonatal_no_nicu,phenotype,platt,7,363843,0.09999983509397994,0.04748898415057749,0.05426241538245892
outcome_severe_neonatal_no_nicu,phenotype,platt,8,363843,0.09999983509397994,0.04748898415057749,0.04871606709487334
outcome_severe_neonatal_no_nicu,phenotype,platt,9,363843,0.09999983509397994,0.04748898415057749,0.03806861750810102
outcome_severe_neonatal_no_nicu,phenotype,platt,10,363843,0.09999983509397994,0.06433633750076934,0.06113076244424106
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,1,363844,0.1000001099373467,0.20871648289526992,0.014764569430854982
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,2,363844,0.1000001099373467,0.27333384695496593,0.019120832004925186
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,3,363844,0.1000001099373467,0.3154881791382369,0.02300436450786601
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,4,363844,0.1000001099373467,0.3526038575843906,0.026420663800969645
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,5,363844,0.1000001099373467,0.3891092677710242,0.02967480568595332
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,6,363844,0.1000001099373467,0.4282213693625328,0.034795131979639626
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,7,363843,0.09999983509397994,0.4735002380306125,0.04145744180869221
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,8,363843,0.09999983509397994,0.5303897331806449,0.052102142957264536
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,raw,9,363843,0.09999983509397994,0.6085993563540276,0.06986255060561836
