endpoint,feature_set,model,probability_type,n_train,n_dev,n_test,events_test,prevalence_test,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,3500000,3605081,3638436,28042,0.007707157690831995,0.690513322817596,0.023382196721517964,3.0338287679428335,0.007595717324973588,0.00016405108179897676,0.05425461741424802,7.039510490201374
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,3500000,3605081,3638436,28042,0.007707157690831995,0.6584002749137019,0.017030288639376084,2.209671752225125,0.007620250985196057,0.00015977684415394996,0.036746921723834654,4.76789540293781
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,3500000,3605081,3638436,28042,0.007707157690831995,0.6901164694397047,0.022973846233623006,2.980845488726851,0.0075973113941131655,0.00017791987054402826,0.0538698328935796,6.989584883887889
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,3500000,3605081,3638436,169135,0.04648563283784571,0.7612627424328434,0.30094836967896343,6.474008232366152,0.03759447122149496,0.0012662778912538245,0.7067667106420404,15.203981692740019
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,3500000,3605081,3638436,169135,0.04648563283784571,0.7145407510116881,0.2184444158344473,4.699181284601195,0.039978481858513076,0.0018776174813837393,0.5381761213720316,11.57725706885251
outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt,3500000,3605081,3638436,169135,0.04648563283784571,0.7611605568001608,0.3007858256482993,6.470511581449704,0.037597831961483384,0.0012318259542563241,0.7045679419525066,15.156681730250455
