top_fraction,n_selected,events_selected,event_rate,precision,recall,enrichment_over_prevalence,number_needed_to_evaluate,baseline_prevalence,total_events,endpoint,endpoint_label,model
0.005,18192,728,0.04001759014951627,0.04001759014951627,0.025961058412381426,5.192263056602432,24.98901098901099,0.007707157690831995,28042,outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype
0.01,36384,1276,0.035070360598065085,0.035070360598065085,0.045503173810712505,4.550362404000483,28.5141065830721,0.007707157690831995,28042,outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype
0.02,72769,2169,0.029806648435460156,0.029806648435460156,0.07734826331930675,3.8673982849626243,33.54956201014292,0.007707157690831995,28042,outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype
0.05,181922,4420,0.024296126911533513,0.024296126911533513,0.15762071178945866,3.1524107701124153,41.15882352941177,0.007707157690831995,28042,outcome_maternal_morbidity_core,Maternal core morbidity,SSL + phenotype
0.005,18192,11370,0.625,0.625,0.06722440653915511,13.445014337659266,1.6,0.04648563283784571,169135,outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype
0.01,36384,17266,0.47454925241864554,0.47454925241864554,0.10208413397581813,10.208514404310682,2.107262828680644,0.04648563283784571,169135,outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype
0.02,72769,24443,0.3358985282194341,0.3358985282194341,0.1445176929671564,7.225856844654301,2.9770895552919034,0.04648563283784571,169135,outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype
0.05,181922,38579,0.21206341179186686,0.21206341179186686,0.2280958997250717,4.561912979255346,4.715570647243319,0.04648563283784571,169135,outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype
