endpoint,feature_set,model,probability_type,n_train,n_dev,n_test,events_test,prevalence_test,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence,auprc_point,auprc_ci_low,auprc_ci_high,top1_enrichment_over_prevalence_point,top1_enrichment_over_prevalence_ci_low,top1_enrichment_over_prevalence_ci_high,model_label,model_order
outcome_maternal_morbidity_core,all_inputs,lightgbm,platt,3500000.0,3605081.0,3638436,28042,0.0077071576908319,0.690513322817596,0.0233821967215179,3.033828767942833,0.0075957173249735,0.0001640510817989,0.054254617414248,7.039510490201374,0.0233821967215179,0.0226110236141407,0.0241000764591135,7.039510490201374,6.749438753384668,7.343301994693831,LightGBM all inputs,0
outcome_maternal_morbidity_core,all_inputs_plus_ssl,lightgbm,platt,3500000.0,3605081.0,3638436,28042,0.0077071576908319,0.6901164694397047,0.022973846233623,2.980845488726851,0.0075973113941131,0.000177919870544,0.0538698328935796,6.989584883887889,0.022973846233623,0.0222713306838524,0.0237435214730412,6.989584883887889,6.662251645733617,7.229314256687071,All inputs + SSL,1
outcome_maternal_morbidity_core,ssl_embeddings,lightgbm,platt,3500000.0,3605081.0,3638436,28042,0.0077071576908319,0.6584002749137019,0.017030288639376,2.209671752225125,0.007620250985196,0.0001597768441539,0.0367469217238346,4.76789540293781,0.017030288639376,0.0165538351268748,0.0174695608642481,4.76789540293781,4.559533863632111,4.977991986989173,SSL LightGBM,2
outcome_maternal_morbidity_core,ssl_embedding,logistic,platt,,,3638436,28042,0.0077071576908319,0.6583206886916518,0.0168473769807608,2.185939052577267,0.0076212338423334,0.0001547115418022,,4.685874763994228,0.0168473769807608,0.016505879374928,0.0173403719863915,4.685874763994228,4.488868448834403,4.903982487579818,SSL logistic,3
outcome_maternal_morbidity_core,ssl_plus_phenotype,logistic,platt,,,3638436,28042,0.0077071576908319,0.6587663426797093,0.0167316485286081,2.170923341624529,0.007621670291813,0.0001578291701494,,4.550362404000483,0.0167316485286081,0.01638543981186,0.0171784725452773,4.550362404000483,4.32871681577847,4.777735218044933,SSL + phenotype,4
outcome_maternal_morbidity_core,phenotype,logistic,platt,,,3638436,28042,0.0077071576908319,0.5353981686120896,0.0085216311674049,1.105677541480928,0.0076461154327252,0.0013018469846944,,2.3785985293638885,0.0085216311674049,0.0084229523609274,0.0086360917193891,2.3785985293638885,1.5239450963165346,1.7908237557725943,Phenotype only,5
outcome_severe_neonatal_no_nicu,all_inputs,lightgbm,platt,3500000.0,3605081.0,3638436,169135,0.0464856328378457,0.7612627424328434,0.3009483696789634,6.474008232366152,0.0375944712214949,0.0012662778912538,0.7067667106420404,15.20398169274002,0.3009483696789634,0.2990714753120818,0.3028118441861606,15.20398169274002,15.099938928367669,15.304603135492092,LightGBM all inputs,0
outcome_severe_neonatal_no_nicu,all_inputs_plus_ssl,lightgbm,platt,3500000.0,3605081.0,3638436,169135,0.0464856328378457,0.7611605568001608,0.3007858256482993,6.470511581449704,0.0375978319614833,0.0012318259542563,0.7045679419525066,15.156681730250456,0.3007858256482993,0.2988423039436945,0.3026407153200759,15.156681730250456,15.02676511170169,15.285296434886297,All inputs + SSL,1
outcome_severe_neonatal_no_nicu,ssl_embeddings,lightgbm,platt,3500000.0,3605081.0,3638436,169135,0.0464856328378457,0.7145407510116881,0.2184444158344473,4.699181284601195,0.039978481858513,0.0018776174813837,0.5381761213720316,11.57725706885251,0.2184444158344473,0.2167959326281139,0.2203337722027759,11.57725706885251,11.476272588752442,11.71834280759794,SSL LightGBM,2
outcome_severe_neonatal_no_nicu,ssl_embedding,logistic,platt,,,3638436,169135,0.0464856328378457,0.7093389953741348,0.1872443538786745,4.02800483607124,0.0413243919544468,0.0022052253587773,,10.177769428692464,0.1872443538786745,0.1853275850562857,0.189063824366674,10.177769428692464,10.039856056072924,10.296754656664133,SSL logistic,3
outcome_severe_neonatal_no_nicu,ssl_plus_phenotype,logistic,platt,,,3638436,169135,0.0464856328378457,0.7098272825674842,0.1859415803657469,3.999979542375184,0.0413259889103009,0.0021075200220847,,10.208514404310682,0.1859415803657469,0.1839622984196586,0.1879330514648143,10.208514404310682,10.100217648934024,10.338226312137635,SSL + phenotype,4
outcome_severe_neonatal_no_nicu,phenotype,logistic,platt,,,3638436,169135,0.0464856328378457,0.536386039105665,0.0518398243396298,1.1151794904128989,0.0442508178227166,0.0042287215255263,,2.091840841101077,0.0518398243396298,0.0515609105256898,0.0521556093397297,2.091840841101077,1.719611910502398,1.833464487696228,Phenotype only,5
