k,silhouette,davies_bouldin,calinski_harabasz,min_cluster_prop,cluster_sizes,passes_min_size
3,0.22056657075881958,1.558601803552211,814925.9617688088,0.04584806832356887,1674796;1764999;165286,False
4,0.20607446134090424,1.617155580824579,752075.4420205472,0.04413493067146064,159110;1492490;1053364;900117,False
5,0.19533556699752808,1.5676981464156257,704272.0295219745,0.04203816779706198,644229;770645;1231537;151551;807119,False
6,0.17647530138492584,1.5387762559567175,653301.0018714466,0.04070144332401963,442712;577552;732586;1050411;655088;146732,False
7,0.17819838225841522,1.4866618975502062,612056.0311397245,0.03933392897413401,543149;932892;449162;141802;611205;657717;269154,False
8,0.18032561242580414,1.4304383739335944,602650.6636294635,0.0038967224314793484,653559;260048;159222;603985;445149;930628;14048;538442,False
